id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_investasi,satuan,tahun
160,32,JAWA BARAT,3277,KOTA CIMAHI,189173003205,RUPIAH,2012
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7031753843,RUPIAH,2012
162,32,JAWA BARAT,3279,KOTA BANJAR,7310000000,RUPIAH,2012
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1626669924000,RUPIAH,2013
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,811381869000,RUPIAH,2013
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,163861263000,RUPIAH,2013
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,628121433000,RUPIAH,2013
167,32,JAWA BARAT,3205,KABUPATEN GARUT,10020315000,RUPIAH,2013
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8134989000,RUPIAH,2013
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2013
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10024209000,RUPIAH,2013
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,188528088000,RUPIAH,2013
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,212475513000,RUPIAH,2013
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,184303191000,RUPIAH,2013
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,127867416000,RUPIAH,2013
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,543593364000,RUPIAH,2013
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6136647564000,RUPIAH,2013
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36272453547000,RUPIAH,2013
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,17781798843000,RUPIAH,2013
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,109361853000,RUPIAH,2013
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2013
181,32,JAWA BARAT,3271,KOTA BOGOR,83031705000,RUPIAH,2013
182,32,JAWA BARAT,3272,KOTA SUKABUMI,9600000000,RUPIAH,2013
183,32,JAWA BARAT,3273,KOTA BANDUNG,183836466000,RUPIAH,2013
184,32,JAWA BARAT,3274,KOTA CIREBON,145737969000,RUPIAH,2013
185,32,JAWA BARAT,3275,KOTA BEKASI,1765112076000,RUPIAH,2013
186,32,JAWA BARAT,3276,KOTA DEPOK,445231944000,RUPIAH,2013
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2013
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53111040000,RUPIAH,2013
189,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2013
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,3327501600000,RUPIAH,2014
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2943193390000,RUPIAH,2014
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1110225300000,RUPIAH,2014
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,662833050000,RUPIAH,2014
194,32,JAWA BARAT,3205,KABUPATEN GARUT,120022510000,RUPIAH,2014
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16996350000,RUPIAH,2014
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2014
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9381360000,RUPIAH,2014
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,63590950000,RUPIAH,2014
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24480000000,RUPIAH,2014
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,254532380000,RUPIAH,2014
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,593380590000,RUPIAH,2014
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,443638790000,RUPIAH,2014
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13179273680000,RUPIAH,2014
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20213531400000,RUPIAH,2014
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,24386794650000,RUPIAH,2014
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,407790140000,RUPIAH,2014
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2014
208,32,JAWA BARAT,3271,KOTA BOGOR,152087350000,RUPIAH,2014
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2014
210,32,JAWA BARAT,3273,KOTA BANDUNG,185280250000,RUPIAH,2014
211,32,JAWA BARAT,3274,KOTA CIREBON,70701240000,RUPIAH,2014
212,32,JAWA BARAT,3275,KOTA BEKASI,389063640000,RUPIAH,2014
213,32,JAWA BARAT,3276,KOTA DEPOK,2415768390000,RUPIAH,2014
214,32,JAWA BARAT,3277,KOTA CIMAHI,15750000000,RUPIAH,2014
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,571200000,RUPIAH,2014
216,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2014
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,2056908750000,RUPIAH,2015
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4392851250000,RUPIAH,2015
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,629271250000,RUPIAH,2015
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,477685000000,RUPIAH,2015
221,32,JAWA BARAT,3205,KABUPATEN GARUT,200785000000,RUPIAH,2015
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6947500000,RUPIAH,2015
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2015
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5641250000,RUPIAH,2015
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,190050000000,RUPIAH,2015
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,353321250000,RUPIAH,2015
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,354166250000,RUPIAH,2015
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,827563750000,RUPIAH,2015
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,2418376250000,RUPIAH,2015
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4939275000000,RUPIAH,2015
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17813837500000,RUPIAH,2015
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,28039438750000,RUPIAH,2015
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,206681250000,RUPIAH,2015
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2015
235,32,JAWA BARAT,3271,KOTA BOGOR,264878750000,RUPIAH,2015
236,32,JAWA BARAT,3272,KOTA SUKABUMI,75607500000,RUPIAH,2015
237,32,JAWA BARAT,3273,KOTA BANDUNG,6914310000000,RUPIAH,2015
238,32,JAWA BARAT,3274,KOTA CIREBON,154208750000,RUPIAH,2015
239,32,JAWA BARAT,3275,KOTA BEKASI,821216250000,RUPIAH,2015
240,32,JAWA BARAT,3276,KOTA DEPOK,550528750000,RUPIAH,2015
241,32,JAWA BARAT,3277,KOTA CIMAHI,30322500000,RUPIAH,2015
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10056250000,RUPIAH,2015
243,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2015
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,5121959869261,RUPIAH,2016
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,968039009190,RUPIAH,2016
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,725297662205,RUPIAH,2016
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,436294226204,RUPIAH,2016
248,32,JAWA BARAT,3205,KABUPATEN GARUT,183014161644,RUPIAH,2016
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5004003215,RUPIAH,2016
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2016
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,59447913525,RUPIAH,2016
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,1266876237978,RUPIAH,2016
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,131391403339,RUPIAH,2016
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,240725829877,RUPIAH,2016
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15653242591,RUPIAH,2016
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,841129041815,RUPIAH,2016
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2217755625685,RUPIAH,2016
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17768009898013,RUPIAH,2016
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,41365144730823,RUPIAH,2016
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,136026301330,RUPIAH,2016
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2016
262,32,JAWA BARAT,3271,KOTA BOGOR,455646572793,RUPIAH,2016
263,32,JAWA BARAT,3272,KOTA SUKABUMI,10917063403,RUPIAH,2016
264,32,JAWA BARAT,3273,KOTA BANDUNG,780246802750,RUPIAH,2016
265,32,JAWA BARAT,3274,KOTA CIREBON,192706493551,RUPIAH,2016
266,32,JAWA BARAT,3275,KOTA BEKASI,1468245355013,RUPIAH,2016
267,32,JAWA BARAT,3276,KOTA DEPOK,482613489181,RUPIAH,2016
268,32,JAWA BARAT,3277,KOTA CIMAHI,74522240773,RUPIAH,2016
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,41385489469,RUPIAH,2016
270,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2016
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,4258425050000,RUPIAH,2017
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,418603030000,RUPIAH,2017
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,434594880000,RUPIAH,2017
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,596026340000,RUPIAH,2017
275,32,JAWA BARAT,3205,KABUPATEN GARUT,136967390000,RUPIAH,2017
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48639320000,RUPIAH,2017
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,814720000,RUPIAH,2017
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,98817020000,RUPIAH,2017
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,4576390990000,RUPIAH,2017
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,950068120000,RUPIAH,2017
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,241510030000,RUPIAH,2017
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,316932500000,RUPIAH,2017
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,1013403710000,RUPIAH,2017
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2105250410000,RUPIAH,2017
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20633058720000,RUPIAH,2017
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,26442936590000,RUPIAH,2017
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,823740250000,RUPIAH,2017
