id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
62,32,JAWA BARAT,3273,KOTA BANDUNG,SLTP,21250,ORANG,2011
63,32,JAWA BARAT,3273,KOTA BANDUNG,SLTA,72268,ORANG,2011
64,32,JAWA BARAT,3274,KOTA CIREBON,SD KE BAWAH,2295,ORANG,2011
65,32,JAWA BARAT,3274,KOTA CIREBON,SLTP,3390,ORANG,2011
66,32,JAWA BARAT,3274,KOTA CIREBON,SLTA,8595,ORANG,2011
67,32,JAWA BARAT,3275,KOTA BEKASI,SD KE BAWAH,11881,ORANG,2011
68,32,JAWA BARAT,3275,KOTA BEKASI,SLTP,23438,ORANG,2011
69,32,JAWA BARAT,3275,KOTA BEKASI,SLTA,80971,ORANG,2011
70,32,JAWA BARAT,3276,KOTA DEPOK,SD KE BAWAH,13571,ORANG,2011
71,32,JAWA BARAT,3276,KOTA DEPOK,SLTP,18317,ORANG,2011
72,32,JAWA BARAT,3276,KOTA DEPOK,SLTA,54499,ORANG,2011
73,32,JAWA BARAT,3277,KOTA CIMAHI,SD KE BAWAH,5323,ORANG,2011
74,32,JAWA BARAT,3277,KOTA CIMAHI,SLTP,6238,ORANG,2011
75,32,JAWA BARAT,3277,KOTA CIMAHI,SLTA,14435,ORANG,2011
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD KE BAWAH,7040,ORANG,2011
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SLTP,3944,ORANG,2011
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SLTA,14541,ORANG,2011
79,32,JAWA BARAT,3279,KOTA BANJAR,SD KE BAWAH,462,ORANG,2011
80,32,JAWA BARAT,3279,KOTA BANJAR,SLTP,1075,ORANG,2011
81,32,JAWA BARAT,3279,KOTA BANJAR,SLTA,3983,ORANG,2011
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,15661,ORANG,2012
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,60646,ORANG,2012
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,57873,ORANG,2012
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,60209,ORANG,2012
86,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4560,ORANG,2012
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,5859,ORANG,2012
88,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,45443,ORANG,2012
89,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,30300,ORANG,2012
90,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,20040,ORANG,2012
91,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1801,ORANG,2012
92,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,12543,ORANG,2012
93,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,56229,ORANG,2012
94,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,30511,ORANG,2012
95,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,10202,ORANG,2012
96,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4661,ORANG,2012
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8464,ORANG,2012
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,47288,ORANG,2012
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,60857,ORANG,2012
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,53532,ORANG,2012
